time,open,high,low,close,tick_volume
2025-02-20 10:00:00,1.04371,1.04443,1.04345,1.04424,2334
2025-02-20 11:00:00,1.04426,1.04462,1.0431,1.04383,1931
2025-02-20 12:00:00,1.04384,1.04439,1.04333,1.04356,2919
2025-02-20 13:00:00,1.04358,1.04548,1.0435,1.04483,3238
2025-02-20 14:00:00,1.04482,1.04606,1.04421,1.04469,4206
2025-02-20 15:00:00,1.04468,1.04754,1.04421,1.0474,4503
2025-02-20 16:00:00,1.04738,1.04783,1.04644,1.04749,3061
2025-02-20 17:00:00,1.04748,1.04947,1.04712,1.04891,2747
2025-02-20 18:00:00,1.0489,1.04986,1.04855,1.04979,2128
2025-02-20 19:00:00,1.04979,1.05034,1.04895,1.05015,1955
2025-02-20 20:00:00,1.05016,1.05032,1.04955,1.05026,1369
2025-02-20 21:00:00,1.05024,1.05034,1.05004,1.05015,665
2025-02-20 22:00:00,1.05014,1.05014,1.0495700000000001,1.04984,1122
2025-02-20 23:00:00,1.04982,1.05057,1.0498,1.05003,815
2025-02-21 00:00:00,1.05003,1.05003,1.04895,1.04904,1206
2025-02-21 01:00:00,1.04904,1.04933,1.04846,1.04868,1848
2025-02-21 02:00:00,1.04869,1.05032,1.04866,1.05025,1959
2025-02-21 03:00:00,1.05026,1.05046,1.04994,1.05025,1408
2025-02-21 04:00:00,1.05025,1.05049,1.04975,1.0499,875
2025-02-21 05:00:00,1.04989,1.05008,1.04918,1.04932,1369
2025-02-21 06:00:00,1.04932,1.04942,1.04879,1.04889,1647
2025-02-21 07:00:00,1.04892,1.04998,1.04892,1.04923,2509
2025-02-21 08:00:00,1.04923,1.04943,1.04681,1.04768,4251
2025-02-21 09:00:00,1.04769,1.04812,1.04668,1.04694,2982
2025-02-21 10:00:00,1.04696,1.04724,1.04647,1.04654,2256
2025-02-21 11:00:00,1.04653,1.0474,1.04631,1.04694,1954
2025-02-21 12:00:00,1.04696,1.04713,1.04596,1.04619,2225
2025-02-21 13:00:00,1.04619,1.04778,1.04615,1.04752,2468
2025-02-21 14:00:00,1.04752,1.04925,1.04703,1.04813,4199
2025-02-21 15:00:00,1.0481,1.0486,1.04527,1.04542,4845
2025-02-21 16:00:00,1.04543,1.04579,1.04494,1.04546,2711
2025-02-21 17:00:00,1.04545,1.04644,1.04522,1.04632,2330
2025-02-21 18:00:00,1.04631,1.04679,1.0451,1.04598,2947
2025-02-21 19:00:00,1.04596,1.04664,1.04573,1.04623,2316
2025-02-21 20:00:00,1.04621,1.04645,1.04573,1.04607,1841
2025-02-21 21:00:00,1.04609,1.04626,1.04585,1.0461,1043
2025-02-23 22:00:00,1.04676,1.04747,1.04611,1.04738,815
2025-02-23 23:00:00,1.04743,1.04846,1.04708,1.04741,1772
2025-02-24 00:00:00,1.04741,1.05073,1.04719,1.0504,2755
2025-02-24 01:00:00,1.05041,1.05209,1.05026,1.0518,3677
2025-02-24 02:00:00,1.05179,1.05283,1.05158,1.0523,2939
2025-02-24 03:00:00,1.0523,1.05257,1.05166,1.05193,1899
2025-02-24 04:00:00,1.05194,1.05207,1.05114,1.05156,1295
2025-02-24 05:00:00,1.05154,1.05198,1.05103,1.05166,1957
2025-02-24 06:00:00,1.05164,1.05166,1.05013,1.05089,1782
2025-02-24 07:00:00,1.05088,1.05148,1.04868,1.04911,3826
2025-02-24 08:00:00,1.04914,1.04929,1.04695,1.04803,4031
2025-02-24 09:00:00,1.04802,1.04849,1.04689,1.04724,3240
2025-02-24 10:00:00,1.04722,1.04805,1.04671,1.04803,2644
2025-02-24 11:00:00,1.04804,1.04814,1.04638,1.04687,1975
2025-02-24 12:00:00,1.04685,1.04727,1.046,1.04689,2171
2025-02-24 13:00:00,1.0469,1.04756,1.04649,1.0467,2523
2025-02-24 14:00:00,1.04669,1.04698,1.04529,1.04604,3353
2025-02-24 15:00:00,1.04606,1.04707,1.04601,1.04691,3831
2025-02-24 16:00:00,1.04692,1.04801,1.04657,1.04778,2905
2025-02-24 17:00:00,1.04777,1.04837,1.04681,1.04726,2875
2025-02-24 18:00:00,1.04724,1.04859,1.04706,1.04807,2038
2025-02-24 19:00:00,1.04805,1.04842,1.04729,1.04752,2247
2025-02-24 20:00:00,1.04754,1.04794,1.04645,1.04652,2918
2025-02-24 21:00:00,1.04653,1.04682,1.04621,1.04681,785
2025-02-24 22:00:00,1.04679,1.04686,1.04655,1.04685,694
2025-02-24 23:00:00,1.04683,1.04684,1.04603,1.04614,771
2025-02-25 00:00:00,1.04616,1.04642,1.04597,1.04635,958
2025-02-25 01:00:00,1.04637,1.04657,1.04607,1.04653,1409
2025-02-25 02:00:00,1.04652,1.04749,1.0465,1.04745,1567
2025-02-25 03:00:00,1.04745,1.04762,1.04713,1.04731,1191
2025-02-25 04:00:00,1.04731,1.04772,1.04726,1.0473,930
2025-02-25 05:00:00,1.0473,1.04781,1.04722,1.04767,919
2025-02-25 06:00:00,1.0477,1.04801,1.04727,1.04769,1321
2025-02-25 07:00:00,1.04769,1.04777,1.04636,1.04645,3308
2025-02-25 08:00:00,1.04643,1.04788,1.04563,1.047,3976
2025-02-25 09:00:00,1.047,1.04791,1.04686,1.0473,2985
2025-02-25 10:00:00,1.0473,1.04742,1.04654,1.04729,2390
